content,score,at
"sekarang susah gabisa di pake di Andro 10 kasian yang hp nya Masi kentang,contoh seperti hp saya padahal mah aman Andro 10 juga",2,2026-06-27 14:59:07
mantuul pokoe,5,2026-06-27 14:59:02
dana cicil abis di bayar gak bisa di pakay,5,2026-06-27 14:58:19
prktis dan oklah,5,2026-06-27 14:58:09
"kapan saya mendapat fitur dana cicil, dana instan, dana darurat limit 100 ribu tidak ada, padahal transaksin perbulan ku lumanyan banyak di dana.",1,2026-06-27 14:58:06
ok,5,2026-06-27 14:58:00
aplikasi yang terlalu pilih kasih,1,2026-06-27 14:56:12
saya kasih bintang dua saya selalu transaksi di dana fitur dana Cicil saya susah aktif padahal saya transaksi paling minim 5juta,2,2026-06-27 14:54:51
sangat bagus,5,2026-06-27 14:53:42
sayangnya fitur dana cicil gk pernah muncul,4,2026-06-27 14:52:49
Kalau bisa di buka saya tmbah lgi bintang ny,5,2026-06-27 14:44:45
"DANA itu aplikasi BERBAHAYA dan penipu, nomor saya hangus katanya bisa dibantu asal ingat PIN,sedangkan PIN yg sy masukan selalu benar tetap saja tidak bisa log'in ke aplikasi DANA,alamat uang saya hilang karna tidak bisa dibuka. dan lucunya akun IG saya juga diblok,jadi ga bisa komen ga bisa chat di IG",1,2026-06-27 14:44:04
ok sangat membantu,5,2026-06-27 14:43:02
suka ngeleg tapi bagus,5,2026-06-27 14:41:25
saya kasih 5 bintang biar di baca.. dana cicil saya udah saya lunasin semua tapi kenapa GK bisa di pakai lagi? coba tolong di perbaiki,5,2026-06-27 14:40:51
aku suka dana ini,5,2026-06-27 14:38:16
sangat membantu. mudah ber transaksi,5,2026-06-27 14:35:31
oke,5,2026-06-27 14:34:31
baik sekali,5,2026-06-27 14:29:26
"Kenapa min aplikasi dana saya transaksinya gak bisa di bagikan sudah 1bulan lebih,mau komplain lewat aplikasi dana gak bisa,,maaf sementara bintang saya kurangin,,",5,2026-06-27 14:28:21
bisa meper mudah pembayaran tapi mines nya satu ada iklan slot nya,5,2026-06-27 14:27:52
bagus banget,5,2026-06-27 14:27:46
sedapp,5,2026-06-27 14:26:28
👍👍,5,2026-06-27 14:26:14
bagus,5,2026-06-27 14:25:37
banyak bug terhadap aplikasi ini seperti tidak bisa mentransfer dan keluar sendiri,1,2026-06-27 14:24:10
sangat membantu,5,2026-06-27 14:23:33
bagus,5,2026-06-27 14:20:37
terimakasih cumn gk ada dana cicil nya beda sama yg lain,5,2026-06-27 14:19:50
mantap,5,2026-06-27 14:19:06
dana cicil tidak bisa di gunakan,5,2026-06-27 14:17:41
bagus,5,2026-06-27 14:17:12
kehilangan bayak uang ke amanan lemah lebih baik di blokir saja,1,2026-06-27 14:16:39
nic and good,5,2026-06-27 14:16:34
memudahkan,5,2026-06-27 14:15:15
limit dana cicil saya tidak bisa digunakan padahal sudah membayar tagihan nya,5,2026-06-27 14:14:52
udah 1 tahun aktivasi dana cicil gagal terus heran udh chat admin balasan nya sabar sabar terus ngmong nya di laporkan ke tim internal tapi 1 tahun ga ada perubahan,1,2026-06-27 14:14:51
"super sekali,banyak manfaat dari aplikasi DANA",5,2026-06-27 14:12:43
"tiba2 ada dana cicil, padahal nggak ada ambil",1,2026-06-27 14:11:57
mantap,5,2026-06-27 14:10:36
nice,5,2026-06-27 14:09:39
Mohon Bantuannya saya mau login dana susah Amat Gangguan Mulu😌,1,2026-06-27 14:09:09
TIDAK AMANNNNNNN,1,2026-06-27 14:07:06
dana nya aneh. masa limit dana cicilnya gk bisa dipake. uda tepat dibayar. tp tetap aj gk bisa dipake. makin lama dongkol juga,1,2026-06-27 14:06:33
baik banget,5,2026-06-27 14:03:36
"dana tidak bagus,pelaku pembobolan akun ternyata orang dalam sendiri",1,2026-06-27 14:03:35
dana memang yg terbaik,5,2026-06-27 14:02:46
semoga muncul fitur dana cicil nya,5,2026-06-27 14:01:38
baik,5,2026-06-27 13:59:59
dana saya kok gk bisa login kak,5,2026-06-27 13:56:57
saldo saya hilang dari dana dan ada apk apk yg tertaut pdhal saya tidk pernah menaut kan apapun tolong perbaiki apk dana nya saya mau login dana aja banyak banget gangguan ny,2,2026-06-27 13:53:55
dana cicil tidak bisa di pake,5,2026-06-27 13:51:05
aplikasi jelek bgt masa gw mau login ke akun sendiri tidak bisa,1,2026-06-27 13:50:50
sangat baik,5,2026-06-27 13:49:00
bagus skali,5,2026-06-27 13:48:06
sangat puas semoga sukses selalu,5,2026-06-27 13:47:39
e wallet terbaik yang saya miliki. terimakasih dana,5,2026-06-27 13:46:47
sangat baik untuk dana,5,2026-06-27 13:46:42
mantap,5,2026-06-27 13:45:48
sangat 👍👍👍,5,2026-06-27 13:44:26
bagus,5,2026-06-27 13:43:13
kenapa dana cicil tidak bisa di pakai?,1,2026-06-27 13:42:45
dana cicil saya gk bisa d gunakan,5,2026-06-27 13:41:53
cukup membantu,5,2026-06-27 13:41:45
"bagus luar biasa,tapi dana cicil tidak bisa di gunakan 😂",5,2026-06-27 13:38:34
mantap,5,2026-06-27 13:36:38
kreen,5,2026-06-27 13:32:28
tolong aktif dana cicil,5,2026-06-27 13:30:45
sangat buruk pelayanan nya,5,2026-06-27 13:29:22
mantap,5,2026-06-27 13:29:08
baik,5,2026-06-27 13:28:44
mantap,5,2026-06-27 13:27:05
notifikasi transferan nya delay sekarang payah mohon di perbaiki lagi terimakasih.,3,2026-06-27 13:25:48
"semoga bisa di gunakan ap saja ,🤲",5,2026-06-27 13:25:26
sangat kecewa keamanya tidak baguss,1,2026-06-27 13:25:11
baguss mantap dehhh😊,5,2026-06-27 13:24:54
"mengapa dana intant ku gk muncul udah di perbarui udh premium bahkan sering transaksi masih tidk muncul,, selainnya sih mantap",5,2026-06-27 13:23:34
mantap,5,2026-06-27 13:22:36
"ga bisa muncul dana cicil nya,kurang puas",3,2026-06-27 13:22:30
dana cicil ada sldo tapi gak bisa dipake,1,2026-06-27 13:20:10
memuaskan,5,2026-06-27 13:16:30
fitur dana cicil,4,2026-06-27 13:15:34
dana cicil tidak ada,1,2026-06-27 13:15:19
lumayan bagus,4,2026-06-27 13:15:17
is the best,5,2026-06-27 13:14:50
aplikasikan yg sangat membantu untuk menabung dll😁💐💐,5,2026-06-27 13:12:51
SANGAT MEMBANTU,5,2026-06-27 13:07:18
padahal saya baru siap membayar tagihan trus saya pakek lagi dana cicil nya kok ngk tersedia,5,2026-06-27 13:05:46
parah pending uang lama kembali nya dikirim gak di balikin lama sial lama nahan uang orang gak tau orang nya lagi butuh uang nya males tim dana makan gajih buta,1,2026-06-27 13:05:30
apk nya keren mohon aktip dana cicil,5,2026-06-27 13:03:12
sangat membantu saya.mantap..,5,2026-06-27 13:00:45
siiip,5,2026-06-27 12:59:49
baik,1,2026-06-27 12:59:30
limit dana cicil gak pernah nambah,5,2026-06-27 12:55:51
Dana cicilnya mahal bgt bunganya...😂😂😂,3,2026-06-27 12:54:30
mudah dan cepat,5,2026-06-27 12:53:44
Ni aplikasi sangat mudah dan sangat membantu aku kasih bintang 5,5,2026-06-27 12:53:42
sangat baik,5,2026-06-27 12:53:24
perbaharui,5,2026-06-27 12:52:41
mantap,5,2026-06-27 12:51:52
saya ingin menghapus akun dana saya non premium secara permanen,5,2026-06-27 12:51:35
baik,3,2026-06-27 12:50:44
mantap,5,2026-06-27 12:50:32
mempermudah transaksi,5,2026-06-27 12:49:42
Mantap sekali,4,2026-06-27 12:49:21
mudah dan cepat,5,2026-06-27 12:49:06
sangat bermanfaat,5,2026-06-27 12:48:29
sangatt baik,5,2026-06-27 12:47:50
bagys,5,2026-06-27 12:47:17
baik,5,2026-06-27 12:47:11
bintang bnyak... suka banget sama dana sangat membantu bertransaksi terimakasih,5,2026-06-27 12:44:30
kenapa dana saya tidak bisa d pkai,5,2026-06-27 12:43:52
mantap👍,5,2026-06-27 12:43:33
bagus,5,2026-06-27 12:39:59
knp sekarang buat transaksi susah bgt ya.. gagal trs,1,2026-06-27 12:39:31
dana buduk banyak modus ya.. tak sesyai pitur kalo gk bisa di gunakan untuk apa bikin fitur segala.. kek janji manis yatanya busuk,1,2026-06-27 12:37:54
apk tidak aman sama sekali. ada notifikasi melalui i pesan di apk dana nya sendiri. setelah di buka ternyata tentang aktifasi dana cicil. setelah di ikuti prosesnya dana cicil tetep tidak tersedia. dan setelah top up saldo hilang semua gak ada sisa. nominal cuma sedikit 300rb tapi untuk yang mau pakai apk ini mikir apk keamanan minim banget,1,2026-06-27 12:34:54
bagus banget,4,2026-06-27 12:34:10
Dana memang mantap,5,2026-06-27 12:32:25
transaksi jadi mudah,5,2026-06-27 12:32:23
sejauh ini ttp efisiensi saya hrp tdk ada eror.,5,2026-06-27 12:31:32
UANG SERING HILANG,1,2026-06-27 12:31:20
bagus,5,2026-06-27 12:31:04
"pihak dana apa bisa bertanggung jawab atas dana yg ke sedot tiktok coin recharge,soalnya tanpa sepengatahuan kita tiba2 dana terpotong dengan sendirinya",1,2026-06-27 12:28:10
bagus sekali,5,2026-06-27 12:27:47
ok,4,2026-06-27 12:27:44
"Tolong saya sudah percaya banget sama akun dana ini,jadi jaga kepercayaan saya,",5,2026-06-27 12:27:43
aman dan terjamin,5,2026-06-27 12:26:51
mntap,5,2026-06-27 12:25:17
aplikasi jelek kartu udh hilang no wa udh ga di pake tapi masih tau paswd nya sama fermuk tapi hrs minta kode otp lagi dari SMS rusak!!!,1,2026-06-27 12:21:24
bagus,5,2026-06-27 12:21:02
ok,5,2026-06-27 12:20:23
Ok lah,4,2026-06-27 12:18:00
mantap dan membantu dlm transaksi,5,2026-06-27 12:16:47
baguss🥰,5,2026-06-27 12:16:07
mantap,5,2026-06-27 12:15:33
mantul,5,2026-06-27 12:15:20
lancarr jaya....,5,2026-06-27 12:15:16
"apalah ni dana, mau masuk dana pakek verifikasi muka malah ngga bisa padahal mukanya sama udah mah ngga bisa pakek opsi lain lagi",1,2026-06-27 12:11:21
"fitur dana cicil dan dana instan tidak muncul, padahal transaksi suda 56juta",5,2026-06-27 12:09:51
kurang bagus,1,2026-06-27 12:07:01
aplikasinya mantap dan aman terpercaya .. good joobb,5,2026-06-27 12:06:29
bagus,2,2026-06-27 12:01:43
senang sekali pakai dana,5,2026-06-27 12:01:40
ribet pin SDH benar masih salah aja jdi buat pin Bru lgi,4,2026-06-27 12:00:53
sangat membantu,5,2026-06-27 11:59:53
kenapa dana jadi nge bug,3,2026-06-27 11:59:47
Joss tenan,5,2026-06-27 11:55:51
sangat membantu dan bermanfaat banget,5,2026-06-27 11:54:41
"?! Alhamdulillah dapat saldo di shopeepay 5juta dengan kode referral diatas, makasih shopee !?",5,2026-06-27 11:53:52
Tolongin dong bilang ke fatnernya naikin kek limit dana Cicil saya masa mentok cuma 220rb doang ya padahal sy ga pernah telat bayar loh byrnya tepat waktu dan sering transaksi juga,5,2026-06-27 11:53:20
"3x ngisi saldo dana gak masuk ,,tolong lah perbaiki ,no tujuan sudah benar ,kenapa gak masuk masuk saldonya ,parah banget aplikasi ,sudah ngirim bukti transfer tetep aja penangannya sangat lambat ,bahkan uang gak masuk masuk juga ,Aplikasi parah",1,2026-06-27 11:52:58
lebih mudah segala urusan,5,2026-06-27 11:52:56
keren,5,2026-06-27 11:51:18
mau login ke akum sendri susah minta appun. minta kode pripikasi lagi.pdahal udah blang nomer gak aktip udah hilang,5,2026-06-27 11:51:03
sangat membantu,5,2026-06-27 11:50:02
kenapa dana cicil saya tidak tersedia,2,2026-06-27 11:49:18
bagus,5,2026-06-27 11:47:38
bagus,5,2026-06-27 11:46:41
mantap,4,2026-06-27 11:44:33
sanggat membantu,5,2026-06-27 11:41:20
stabil jadi nyaman pelayanan terimakasih,5,2026-06-27 11:38:19
kenapa dana cicil saya gak bisa di pakai tolong di bantu,5,2026-06-27 11:37:56
sangat membantu untuk transfer,5,2026-06-27 11:37:26
KA ko saya ngga ada dana cicil nya ya,5,2026-06-27 11:37:08
Aplikasi mantap 🙌🏻,5,2026-06-27 11:36:23
dana sangat membantu mantep,5,2026-06-27 11:35:46
bayar pake Dana gak bisa ya..??,5,2026-06-27 11:35:44
membantu,4,2026-06-27 11:35:29
sangat bagus aplikasi nya tapi mines nyaa ga bisa nyimpen uwang terlalu banyak dan ada limit transaksi nya,4,2026-06-27 11:33:01
"memudahkan banget , terimakasih dana , semoga lancar terus",5,2026-06-27 11:29:20
"tagihan muncul terus padahal sudah di bayar, bahkan membayar 2x ,tetapi masih tetap muncul",1,2026-06-27 11:27:44
knapa menu dana cicil gk ada,5,2026-06-27 11:27:05
luar biasa aplikasi nya,5,2026-06-27 11:26:58
👍,5,2026-06-27 11:26:36
Semoga bermanfaat,1,2026-06-27 11:24:49
mantapppp,5,2026-06-27 11:23:44
"pelayanan pelanggan busuk...jawaban cuma diputar putar,ga ada titik temu... proses pergantian nomor terlalu lama..",1,2026-06-27 11:20:40
tidak bisa membuka dana cicil,5,2026-06-27 11:20:00
Semoga Amanah,3,2026-06-27 11:16:12
tolong hapuskan dana premium saya,1,2026-06-27 11:15:51
kenpa dana saya belum ada dana cicil padahal pengeluaran udah berjuta juta tolong adain dana cicil🙏,5,2026-06-27 11:10:36
tidak ada fitur dana cicil nya tapi SDH bayak transasi di dna. trasaksi Atif tapi ttp ga ada fitur nya,1,2026-06-27 11:09:39
kenapa tidak bisa transaksi menggunakan dana cicil padahal sudah tidak ada tagihan,1,2026-06-27 11:07:38
sangat baik dan simpel,5,2026-06-27 11:06:32
bgusssss bngetyt,5,2026-06-27 11:06:12
konsisten,5,2026-06-27 11:06:01
mantep. memudahkan transaksi,5,2026-06-27 11:03:16
oke,5,2026-06-27 11:02:51
kenapa semenjak update saya JD gak bisa login ke akun saya. minta otp terus padahal vermuk udah selesai. mohon bantuan nya min.,1,2026-06-27 11:02:50
udh lama pake dana ..Tpi knp dana cicil sya gak ada ya ..mohon kejelasan nya admin,4,2026-06-27 11:01:09
dompet digital,5,2026-06-27 11:01:05
"anjir saldonya mengurang sendiri pdhl tdk ada transaksi apapun, diambil adminnya yaa?kurang gaji kah? smpai harus mengambil dana dri akun org sdh bgs kita mau pakai dana tpi apa begitu",1,2026-06-27 11:00:47
terbaik dan cepat tanpa ribet..,5,2026-06-27 10:59:46
sangat bertransaksi tapi sayang sy pengguna setia dan sudah bertransaksi hampir ratusan juta tapi waktu ajukan paylater tidak di ACC.,5,2026-06-27 10:59:32
tidak pernah dapat bonus tambahan,5,2026-06-27 10:58:32
aplikasi Bagus dan lancar di gunakan,5,2026-06-27 10:57:24
bagus,5,2026-06-27 10:56:29
hilangkan si sopee sama si lazada bikin error hape.,1,2026-06-27 10:56:28
bagus,5,2026-06-27 10:55:47
joss jiss pokoknya,5,2026-06-27 10:55:28
Aplikasi ini bagus simple praktis aman,5,2026-06-27 10:55:17
ok,5,2026-06-27 10:54:52
"saldo saya tiba"" hilang kesedot sndiri",1,2026-06-27 10:54:52
Bagus sih cuman kurangnya saya sudah 5 tahun menggunakan app dana tapi fitur dana cicil saya belum juga muncul sampai saat ini semua sudah saya verifikasi,5,2026-06-27 10:50:56
biaya untuk telfon cs nya terlalu mahal,1,2026-06-27 10:49:24
baik,5,2026-06-27 10:49:04
sangat membantu,5,2026-06-27 10:48:43
puas,5,2026-06-27 10:47:08
bijaksana,5,2026-06-27 10:46:29
aku tidak bisa bayar item di play store jir di tolak padahal saldo cukup pas top up lewat website resmi sama dana nya langsung perasaan bisa deh,5,2026-06-27 10:46:28
"saya sudah membayar lunas semua dana cicil saya akan tetapi limit nya tidak meningkat, sudah berulang kali saya membayar lunas tetapi tidak ada peningkatan",1,2026-06-27 10:43:25
saldo dana saya sering hilang dan tidak ada tangung jawab dari aplikasi dana sungguh bobrok aplikasi ini aplikasi tolol,1,2026-06-27 10:42:49
Bagus,5,2026-06-27 10:41:07
bagus,5,2026-06-27 10:40:26
"dana bisnisnya bego, pembayaran pake qris gagal mulu gak jelas banget.",1,2026-06-27 10:37:10
mantul,5,2026-06-27 10:35:20
dana cicil saya tidak bisa digunakan,1,2026-06-27 10:34:47
"sangat"" membantu saya",5,2026-06-27 10:34:32
sangat bermanfaat,5,2026-06-27 10:31:35
mudah akses nya dan aman,5,2026-06-27 10:30:58
CYBER GUARD NYA ditingkatkan uangku hilang 500rb skwkwkkwkwk,5,2026-06-27 10:29:49
mantap,5,2026-06-27 10:29:14
semoga sukses selalu,5,2026-06-27 10:27:08
sangat memuaskan,5,2026-06-27 10:26:52
"oke sangat praktis banget,cuma kalo duit sampe milyaran mending lebih hati2 deh takut jadi trouble wkwkw",5,2026-06-27 10:23:56
aplikasi Dana bank digital makin oke pelayanan serta manfaatnya dan praktis penggunaan nya.,5,2026-06-27 10:22:06
"Setelah aku gunakan Dana Dompet Digital,semuanya jadi lebih mudah dan keuangan saya gampang diatur.",5,2026-06-27 10:20:58
terimakasih sangat puas,5,2026-06-27 10:20:55
limit dana cicil tak bisa di gunakan padahal limitku tak ada tagihan apapun,1,2026-06-27 10:19:42
"aplikasi paling aneh, sudah di percepat lunas untuk dana cicil ehh tau tau malah tidak bisa digunakan gajelas",1,2026-06-27 10:18:42
lebih mudah,5,2026-06-27 10:15:18
kenapa emas digital nya gabisa dijual?,5,2026-06-27 10:14:21
Sangat membanti,5,2026-06-27 10:12:46
sangat cepat,5,2026-06-27 10:12:37
kok sesama dana jadi ada adminya ya,5,2026-06-27 10:06:51
"duit hilang 48.700.000 dalam semalam transaksi qris yang tidak pernah saya lakukan , dan yang mengetahui dana saya hanya saya karna saya sebatang kara",1,2026-06-27 10:05:32
ok baik,4,2026-06-27 09:59:52
bgus,5,2026-06-27 09:58:24
bagusss,5,2026-06-27 09:56:32
mantap ini dana,5,2026-06-27 09:56:24
"saran kalau bisa ada kata sandi tiap mau buka aplikasi dana, seperti bank2 lainnya. biar tdk sembarang org bisa buka aplikasi dana kita",5,2026-06-27 09:55:41
oke mantap,5,2026-06-27 09:55:37
sangat aman,5,2026-06-27 09:52:37
cukup membantu,5,2026-06-27 09:51:17
membantu sekali,5,2026-06-27 09:50:37
ini kenapa sih tiap 15 hari sekali selalu ada pembaruan data terus kemari di perbarui sekarang perbarui lagi,2,2026-06-27 09:49:08
mantab,5,2026-06-27 09:47:47
good job sangat membantu..!!!,5,2026-06-27 09:45:12
dana cicil saya tidak bisa digunakan padahal limit tersedia,3,2026-06-27 09:44:27
ok,5,2026-06-27 09:41:58
sempurna,5,2026-06-27 09:41:44
makasih mantap,5,2026-06-27 09:39:21
Aflikasi bodong,1,2026-06-27 09:36:39
ok,5,2026-06-27 09:34:37
membantu,5,2026-06-27 09:32:22
simpel dan cepat,5,2026-06-27 09:30:26
😃😃,5,2026-06-27 09:30:24
ok,5,2026-06-27 09:29:00
saya sangat puas sama aplikasi dana ini,5,2026-06-27 09:27:49
sangat membantu,5,2026-06-27 09:26:57
makin tambah mudah bertransaksimantap,5,2026-06-27 09:26:33
limit bikin sakit ne,2,2026-06-27 09:26:29
gaada dacil,3,2026-06-27 09:25:58
bagus hah,5,2026-06-27 09:23:13
baik,4,2026-06-27 09:21:55
ship bnget,5,2026-06-27 09:21:23
sangat membantu buat bayar bayar,5,2026-06-27 09:20:45
"saldo tiba tiba hilang didana, pdhal ga melakukan transaksi apapun. jangan install apk ini.",1,2026-06-27 09:19:50
mau transfer aja ribet segala harus upgrade dana premiun udah gitu suruh foto kia/ktp segala sama nomor dana orang tua,3,2026-06-27 09:15:45
sangat baik luar biasa puas,5,2026-06-27 09:13:30
fitur dana cicil tidak tersedia padahal limit ada sudah 2 bulan tidak tersedia capee padahal pengen banget pakai dana cicil,3,2026-06-27 09:05:15
aplikasi nya bagus' tolong fitur dana Cicil di akun saya bisa di aktifkan trimakasih,5,2026-06-27 09:03:10
👍🏻👍🏻👍🏻👍🏻,5,2026-06-27 09:03:01
tolong segera perbaiki QR saya biar saya bisa lebih lancar melakukan transaksi,3,2026-06-27 08:47:21
mantap,5,2026-06-27 08:45:47
sangat membantu dan memudahkan terangsaksi tamparibet dan cepat,5,2026-06-27 08:45:42
oke,5,2026-06-27 08:44:48
ini gimana ya. aku transfer ke temen aku. tapi belum masuk. padahal nomor sudah benar...,5,2026-06-27 08:43:41
galau.,4,2026-06-27 08:41:26
aplikasi yg baperan..baru telat pembayaran di fitur dana istan/cicil..sudah tidak bisa di gunakan kembali fiturnya.,1,2026-06-27 08:39:25
"sumpah pliss admin dana, akun dana gue tbtb keluar trus udah masukin nomor sama pin pas mau verifikasi muka malah gabisa kayak pindai mukanya itu ga muncul² udah coba berulang kali dari pagi sampe sekarang ga muncul² juga plis disitu ada uang aku walaupun ga seberapa tpi itu bank yg ak punya",1,2026-06-27 08:38:57
top up 1 juta tiba2 kesedot ke tiktok coin top up coin aj gak pernah lebih dari 50k itu tiba-tiba 1jt hilang gak ada notif yang paling nyesek tuh dah lapor dapet nomor laporan katanya tunggu 7 hari dah ditunggu 7 hari alesan nya salah sendiri atau pernah teken link resiko sendiri kata cs dana nya ngapain dana dibikin dana protection kalo masalah transaksi yang gak jelas aj harus ditanggung sendiri hapus aja tuh dah janji sama OJK katanya ada pengaman dan ada dana protection tapi mna buktiny,1,2026-06-27 08:35:55
"pengajuan dari 2023 hingga sekarang belum ada penanganan uang kembali. aplikasi yang kurang nyaman, dan kurang aman. data bisa bocor ke orang lain juga. astagaaa",5,2026-06-27 08:35:33
aplikasi dana ini sangat membantu untuk saya,5,2026-06-27 08:34:12
"aplikasi yang sangat bagus untuk penyimpanan uang,suka bgt,bintang 5deh",5,2026-06-27 08:33:53
mantap tanpa kendala,4,2026-06-27 08:27:38
e wallet terburuk sepanjang sejarah manusia,1,2026-06-27 08:13:23
mantull,5,2026-06-27 08:13:09
dana cicil nggak bisa di pakai,2,2026-06-27 08:11:15
sagseg cepat kalo buat kirim kirim mantap polll,5,2026-06-27 08:09:34
ini kenapa ya kok saya tidak bisa jual emas saya,1,2026-06-27 08:06:34
aku kalau mengunakan aplikasi dana Lebih bangusss,3,2026-06-27 08:03:51
mantap,5,2026-06-27 08:03:29
baik sekali.,4,2026-06-27 08:01:59
sangat membantu,4,2026-06-27 08:00:58
dana aplikasi yg aman,5,2026-06-27 07:55:36
sangat baik,5,2026-06-27 07:55:18
tambahkan limit dana dong jangan 40.000.000 /bulan bingung klo harus pnya banyak akun,2,2026-06-27 07:53:00
"masih lemot, tapi fiturnya paling lengkap",5,2026-06-27 07:52:01
sangat bagus,5,2026-06-27 07:51:30
sangat memuaskan tetapi kenapa tidak ada dana cicil,5,2026-06-27 07:51:08
ada limit malah ga bisa di pakai apa,5,2026-06-27 07:49:47
sangat membantu,5,2026-06-27 07:47:41
sangat puas,5,2026-06-27 07:47:39
"aplikasi jlk butut saldo dana gua hilang 360 ribu,jangan pake aplikasi dajjal satu ini",1,2026-06-27 07:47:20
emg mantap tapi uang gue 6jt303 hilang lenyap di app dana,1,2026-06-27 07:46:38
mantap,5,2026-06-27 07:46:10
bagus,5,2026-06-27 07:43:50
sangat membantu,4,2026-06-27 07:43:47
dana makin d depan.,5,2026-06-27 07:42:07
tidak bisa di upgrate,2,2026-06-27 07:40:27
sangat cepat proses kirimnya,5,2026-06-27 07:38:07
"kok dana skrg kalau di tf di potong 100p sih, gua jadi ga bisa isian inj",1,2026-06-27 07:35:13
"dana saya kenapa tidak bisa masuk perbaiki saya mau login dana ellor Mulu ,tambah saldo Saya hilang kata nya aman tapi ko bisa hilang",1,2026-06-27 07:34:26
BERBAGAI TRANSAKSI YG LAMA,1,2026-06-27 07:33:36
baik,5,2026-06-27 07:33:17
mantapp,5,2026-06-27 07:32:01
"Sungguh mengecewakan saldo saya hilang tanpa ada penjelasan sama sekali, tidak lagi-lagi menyimpan uang di dana",1,2026-06-27 07:30:59
Good,3,2026-06-27 07:27:18
bagus,5,2026-06-27 07:26:53
nyaman lancar semua urusan,5,2026-06-27 07:24:57
sangat baik,5,2026-06-27 07:23:09
🥰😘,5,2026-06-27 07:23:05
terima kasih,5,2026-06-27 07:19:44
"dana sangat bgus untuk transaksi dan menyimpan uang, cuman dana cicilnya blum muncul padahal sdah lama skali akun dana sama sya",5,2026-06-27 07:18:26
sangat baik dan membantu,5,2026-06-27 07:17:22
"harus diperbaiki pelayanan terkait laporan pencurian uang via dana, kacaaau",1,2026-06-27 07:11:00
sangat membantu,3,2026-06-27 07:10:02
dana ok,5,2026-06-27 07:09:47
oi aplikasi dana? tolong upgrade sistem penghapusansan pengeluaran uang dan penerimaan uang agar di kotak masuk bisa di hapus atau kasih jangka waktu yg di tentukan agar terhapus otomatis paham kau dana?,1,2026-06-27 07:08:49
krena akun saya tiba² non premium mohon maaf saya kasih ulasan paling jelek aja dan tidak di sarankan,1,2026-06-27 07:08:36
"akun istri saya di sini hilang tiba"" di trasfer ke orang walaupun uang kecil tapi kalo gak aman mending jangan pakai aplikasi ini tidak ada tanggung jawab dari aplikasi ini percuma laporan kalo orang dalamnya sendiri yang nyuri",1,2026-06-27 07:07:35
bagus pengiriman cepat,5,2026-06-27 07:06:26
bagus dan membantu,5,2026-06-27 07:02:33
bermanfaat,5,2026-06-27 06:51:59
cepat perbaiki tak bisa intal,2,2026-06-27 06:50:51
"aku sangat membutuhkan dan sangat diperlukan dana, semoga bisa lebihembantu memudahkan untuk transaksi juga bisa untuk penyimpanan uang yg aman, dan memudahkan dimana dibutuhkan apabila aku butuh uang.",5,2026-06-27 06:50:50
cepat cara transfer nya,5,2026-06-27 06:43:37
"gw bayar pake dana untuk premium aplikasi sebelah, uangnya terpotong tapi premium di aplikasi sebelah tidak masuk, uang hilang tanpa jejak, tidak ada pemberitahuan.. ini aplikasi penipuan.. jangan di dowload",1,2026-06-27 06:43:31
aplikasi bagus,5,2026-06-27 06:41:50
admin mahal,5,2026-06-27 06:39:32
"Habis top up,Gak bisa masuk aplikasi , sering hilang saldo Tampa konfirmasi",1,2026-06-27 06:39:19
cukup membatu dan cukub baik,5,2026-06-27 06:38:58
sangat bagus aplikasi dana,5,2026-06-27 06:38:51
"Jelek bgt sekarang, wajah sama sandi sama padahal, masalahnya nomor hp sudah ilang knpa pas mau ganti nomor baru selalu terjadi masalah, ada duitnya loh di akunku",1,2026-06-27 06:36:56
"sudah sejauh ini make dana, baru 2 hari yg lalu dibuat kecewa, masa iya bisa² saldo didana hilang 1,2 juta, tanpa di buka apk nya dana langsung transaksi sendiri ke no dana yg gk dikenal, sudah di lapor ke CS nya juga kata nya transaksi tidak bisa dibatalkan",1,2026-06-27 06:36:49
sudah di pencet setan,1,2026-06-27 06:35:54
"apa apaan dana bisnis sering error tidak bisa di tarik, tolong segera perbaiki!!!",1,2026-06-27 06:35:41
tiap isi saldo dari bank kepotong 1500 aplikasi taikkk aplikasi sblh aj Ng ad potong potongan gitu,1,2026-06-27 06:32:48
"kenapa ya dana cicil sya tidak berlaku,,padahal semua tagihan sya sudah lunas,,tolong benahi ka fitur dana cicil saya,,,",5,2026-06-27 06:30:36
bguss,5,2026-06-27 06:27:47
okok👍👍👍👍👍,5,2026-06-27 06:27:09
dana adalah yang terbaik,5,2026-06-27 06:23:49
keren semua tabungan ku aman dan tidak hilang sepeser pun,5,2026-06-27 06:20:20
nyaman,3,2026-06-27 06:20:11
sangat bagus,5,2026-06-27 06:17:12
mantap gampang saat transfer dana ke bca,5,2026-06-27 06:14:23
saya sangat puas,5,2026-06-27 06:13:10
sangat membantu,5,2026-06-27 06:10:26
NYESEL PAKE DANA GK BISA MINDAHIN AKUN YG MASIH ADA SALDO. SALDO ILANG TERUSS,1,2026-06-27 06:10:19
👍,5,2026-06-27 06:09:43
bagus,5,2026-06-27 06:06:16
